,Tweet,Extracted Date/Time,Date/Time,MRT_Line,Status,From_Stn,To_Stn,Duration,New_Fr_Stn,New_To_Stn
41,[CCL] Update: Train services are running normally now.,7:27 PM - 10 Sep 2017,2017-09-10 19:27:00,CCL,cleared,,,62.00000000000001,PayaLebar,BuonaVista
42,"[CCL Update] Pls add 30mins additional travelling time from #PayaLebar to
  #BuonaVista due to train fault. Free Regular bus available.",6:54 PM - 10 Sep 2017,2017-09-10 18:54:00,CCL,update,PayaLebar,BuonaVista,0,None,None
43,"[CCL Update] Pls add 30mins additional travelling time from #PayaLebar to
  #BuonaVista due to a train fault. Train Service still available",6:40 PM - 10 Sep 2017,2017-09-10 18:40:00,CCL,update,PayaLebar,BuonaVista,0,None,None
44,[CCL] UPDATE: Free regular bus services available between #PayaLebar and #BuonaVista.,6:27 PM - 10 Sep 2017,2017-09-10 18:27:00,CCL,update,PayaLebar,BuonaVista,0,None,None
45,"[CCL] Pls add 15mins additional travelling time from #PayaLebar to
  #BuonaVista due to a train fault.",6:25 PM - 10 Sep 2017,2017-09-10 18:25:00,CCL,update,PayaLebar,BuonaVista,0,None,None
46,[CCL] UPDATE: Normal train service resumed towards #HarbourFront. Free regular bus services still available till 11pm.,7:28 AM - 21 Jul 2017,2017-07-21 07:28:00,CCL,cleared,,,20.0,Caldecott,HarbourFront
47,[CCL] UPDATE: Free regular bus services are available from #Caldecott to #HarbourFront.,7:09 AM - 21 Jul 2017,2017-07-21 07:09:00,CCL,update,Caldecott,HarbourFront,0,None,None
48,[CCL]: Estimate 15mins additional travelling time from #Caldecott to #HarbourFront towards #HarbourFront due to signal fault.,7:08 AM - 21 Jul 2017,2017-07-21 07:08:00,CCL,update,Caldecott,HarbourFront,0,None,None
49,CCL: CLEARED: Train Services between #Bishan and #HarbourFront are now operating normally.,3:43 PM - 23 Feb 2017,2017-02-23 15:43:00,CCL,cleared,,,11.0,bishan,HarbourFront
50,CCL: Estimate 5 mins additional travelling time between #bishan and #HarbourFront in both directions due to signal fault.,3:32 PM - 23 Feb 2017,2017-02-23 15:32:00,CCL,update,bishan,HarbourFront,0,None,None
51,[CCL] Bus bridging and free regular bus svcs have ceased.,8:30 PM - 1 Nov 2016,2016-11-01 20:30:00,CCL,cleared,,,0.0,,
52,[CCL] Train svcs have resumed. Bus bridging svc continue btwn #Bishan & #PayaLebar. Free regular bus svc are still avail at all CCL stns.,8:24 PM - 1 Nov 2016,2016-11-01 20:24:00,CCL,cleared,,,0.0,,
53,[CCL] Train svcs have resumed. Bus bridging svc avail btwn #Bishan & #PayaLebar. Free regular bus svc are still avail at all CCL stns.,8:04 PM - 1 Nov 2016,2016-11-01 20:04:00,CCL,cleared,,,0.0,,
54,[CCL] Train svcs have resumed. Bus bridging svc avail between #Bishan and #PayaLebar. Free regular bus svc are still avail at all CCL stns.,7:46 PM - 1 Nov 2016,2016-11-01 19:46:00,CCL,cleared,,,157.0,BotanicGardens,HarbourFront
55,[CCL] Train svcs just resumed. Bus bridging svc avail between #Bishan and #PayaLebar. Free regular bus svc are still avail at all CCL stns.,7:27 PM - 1 Nov 2016,2016-11-01 19:27:00,CCL,update,Bishan,PayaLebar,0,None,None
56,[CCL]Bus bridging svcs avail between #Bishan and #PayaLebar. Free regular bus svc at all CCL stns. Alt travel option:http://bit.ly/2f87VLl ,7:20 PM - 1 Nov 2016,2016-11-01 19:20:00,CCL,update,Bishan,PayaLebar,0,None,None
57,[CCL} Bus bridging svcs avail between #Bishan and #PayaLebar. Free regular bus svc at all CCL stns.,7:01 PM - 1 Nov 2016,2016-11-01 19:01:00,CCL,update,Bishan,PayaLebar,0,None,None
58,[CCL]No train svc btwn #BotanicGardens and #Serangoon. Free regular bus svc at all CCL stns. Alt travel options:http://bit.ly/2f87VLl ,6:50 PM - 1 Nov 2016,2016-11-01 18:50:00,CCL,update,BotanicGardens,Serangoon,0,None,None
59,[CCL] No train svc btwn #BotanicGardens and #Serangoon. Free regular bus svc at all CCL stns. Alt travel options: http://bit.ly/2f87VLl ,6:32 PM - 1 Nov 2016,2016-11-01 18:32:00,CCL,update,BotanicGardens,Serangoon,0,None,None
60,[CCL] No train svc between #BotanicGardens and #Marymount. Free regular bus svc at all CCL stns. Alt travel options: http://bit.ly/2f87VLl ,6:26 PM - 1 Nov 2016,2016-11-01 18:26:00,CCL,update,BotanicGardens,Marymount,0,None,None
61,[CCL] No train service between #BotanicGardens and #Marymount,6:06 PM - 1 Nov 2016,2016-11-01 18:06:00,CCL,update,BotanicGardens,Marymount,0,None,None
62,"[CCL] UPDATE: Estimate 10 mins additional travelling time from #BotanicGardens to
  #HarbourFront due to signal fault.",5:09 PM - 1 Nov 2016,2016-11-01 17:09:00,CCL,update,BotanicGardens,HarbourFront,0,None,None
63,"[CCL] CLEARED: Fault cleared but trains and stations are crowded. Due to
  congestion, pls add 10mins travel time towards #DhobyGhaut.",4:39 PM - 1 Nov 2016,2016-11-01 16:39:00,CCL,cleared,,,2.0000000000000004,PasirPanjang,one
64,"[CCL]
  UPDATE: Estimate 10 mins additional travelling time between #PasirPanjang and
  #one-north due to signal fault",4:37 PM - 1 Nov 2016,2016-11-01 16:37:00,CCL,update,PasirPanjang,one,0,None,None
65,[CCL] CLEARED: Train service is running normally now.,7:15 PM - 19 Sep 2016,2016-09-19 19:15:00,CCL,cleared,,,0.0,,
66,[CCL] Update: Free regular bus service has ceased.,7:03 PM - 19 Sep 2016,2016-09-19 19:03:00,CCL,cleared,,,170.0,DhobyGhaut,MacPherson
67,"[CCL] Update: Estimate 10mins additional travelling time from #DhobyGhaut to
#Bishan towards #HarbourFront due to track fault.",6:53 PM - 19 Sep 2016,2016-09-19 18:53:00,CCL,update,DhobyGhaut,Bishan,0,None,None
68,"[CCL] Update: Estimate 15 mins additional travelling time from #DhobyGhaut to
#Bishan towards #HarbourFront due to track fault.",6:41 PM - 19 Sep 2016,2016-09-19 18:41:00,CCL,update,DhobyGhaut,Bishan,0,None,None
69,[CCL] Update: Free regular bus services are available between #PayaLebar & #Bishan.,5:49 PM - 19 Sep 2016,2016-09-19 17:49:00,CCL,update,PayaLebar,Bishan,0,None,None
70,"[CCL] Update: Estimate 15mins additional travelling time from #DhobyGhaut to
#Bishan towards #HarbourFront due to track fault.",5:34 PM - 19 Sep 2016,2016-09-19 17:34:00,CCL,update,DhobyGhaut,Bishan,0,None,None
71,[CCL]:UPDATE: Free regular bus service between #PayaLebar & #Bishan.,5:31 PM - 19 Sep 2016,2016-09-19 17:31:00,CCL,update,PayaLebar,Bishan,0,None,None
72,"[CCL] Update: Estimate 10mins additional travelling time from #DhobyGhaut to
#MacPherson towards #HarbourFront due to track fault.",4:34 PM - 19 Sep 2016,2016-09-19 16:34:00,CCL,update,DhobyGhaut,MacPherson,0,None,None
73,[CCL]: Estimate 5mins additional travelling time from #DhobyGhaut to #MacPherson towards #HarbourFront due to track fault.,4:13 PM - 19 Sep 2016,2016-09-19 16:13:00,CCL,update,DhobyGhaut,MacPherson,0,None,None
74,[CCL] CLEARED: Train services from #PayaLebar towards #MacPherson are now operating normally.,4:06 PM - 19 Sep 2016,2016-09-19 16:06:00,CCL,cleared,,,9.0,PayaLebar,MacPherson
75,[CCL]: Estimate 5mins additional travelling time from #PayaLebar to #MacPherson towards #HarbourFront due to track fault.,3:57 PM - 19 Sep 2016,2016-09-19 15:57:00,CCL,update,PayaLebar,MacPherson,0,None,None
76,[CCL] CLEARED: Train services from #PayaLebar towards #MacPherson are now operating normally.,6:13 AM - 5 Sep 2016,2016-09-05 06:13:00,CCL,cleared,,,51.0,PayaLebar,MacPherson
77,"[CCL]
Update: Estimate 5mins additional travelling time from #PayaLebar to
#MacPherson towards #HarbourFront due to track fault.",5:57 AM - 5 Sep 2016,2016-09-05 05:57:00,CCL,update,PayaLebar,MacPherson,0,None,None
78,"[CCL] Update: Estimate 10mins additional travelling time from #PayaLebar to
#MacPherson towards #HarbourFront due to track fault.",5:32 AM - 5 Sep 2016,2016-09-05 05:32:00,CCL,update,PayaLebar,MacPherson,0,None,None
79,"[CCL]: Estimate 5mins additional travelling time from #PayaLebar to #MacPherson
  towards #HarbourFront due to track fault.",5:22 AM - 5 Sep 2016,2016-09-05 05:22:00,CCL,update,PayaLebar,MacPherson,0,None,None
80,[CCL] CLEARED: Train service is running normally now.,11:59 PM - 31 Aug 2016,2016-08-31 23:59:00,CCL,cleared,,,0.0,,
81,[CCL] Update: Normal service resumed. All commuters are advised to hold onto the handrails as they may experience intermittent braking.,9:44 PM - 30 Aug 2016,2016-08-30 21:44:00,CCL,cleared,,,0.0,,
82,[CCL] Normal services have resumed. Free shuttle bus services have ceased.,6:31 AM - 25 Apr 2016,2016-04-25 06:31:00,CCL,cleared,,,0.0,,
83,[CCL] Normal services have resumed. Free shuttle bus services between Pasir Panjang and Habourfront are still ongoing,6:23 AM - 25 Apr 2016,2016-04-25 06:23:00,CCL,cleared,,,0.0,,
84,[EWL] UPDATE: Free regular bus svcs between #OutramPark and #Bugis have ended.,2:43 PM - 10 Jan 2018,2018-01-10 14:43:00,EWL,cleared,,,0.0,,
85,[EWL] UPDATE: Train service from #OutramPark to #Bugis has resumed. Free regular bus svcs from #OutramPark to #Bugis is available. Our station staff will assist.,2:33 PM - 10 Jan 2018,2018-01-10 14:33:00,EWL,cleared,,,14.0,OutramPark,Bugis
86,"[EWL]: Due to a track fault, pls add 20mins train travel time from #OutramPark to #Bugis towards #PasirRis. Free regular bus svcs btwn #OutramPark and #Bugis. Our station staff will assist.",2:19 PM - 10 Jan 2018,2018-01-10 14:19:00,EWL,update,OutramPark,Bugis,0,None,None
87,[EWL] CLEARED: Train svcs btwn #TanahMerah and #ChangiAirport have resumed. Free regular bus & free bridging bus svcs have ended.,5:02 PM - 1 Jan 2018,2018-01-01 17:02:00,EWL,cleared,,,0.0,,
88,"[EWL] UPDATE: Fault cleared, train services are progressively being restored. Pls add 10mins train travel time btwn #TanahMerah and #ChangiAirport.",4:59 PM - 1 Jan 2018,2018-01-01 16:59:00,EWL,cleared,,,66.00000000000001,TanahMerah,ChangiAirport
89,[EWL] UPDATE: Free regular bus & free bridging bus svcs btwn #TanahMerah and #ChangiAirport are still available.,3:57 PM - 1 Jan 2018,2018-01-01 15:57:00,EWL,update,TanahMerah,ChangiAirport,0,None,None
90,"[EWL]: Track signalling fault recurred, pls add 20mins train travel time btwn #TanahMerah and #ChangiAirport.",3:53 PM - 1 Jan 2018,2018-01-01 15:53:00,EWL,update,TanahMerah,ChangiAirport,0,None,None
91,"[EWL] UPDATE: Fault cleared, train svcs are progressively being restored. Pls add 10mins train travel time btwn #TanahMerah and #ChangiAirport.",3:17 PM - 1 Jan 2018,2018-01-01 15:17:00,EWL,cleared,,,88.0,ChangiAirport,TanahMerah
92,[EWL] UPDATE: Pls add 20mins train travel time btwn #TanahMerah and #ChangiAirport. We are working to recover svc.,2:29 PM - 1 Jan 2018,2018-01-01 14:29:00,EWL,update,TanahMerah,ChangiAirport,0,None,None
93,[EWL] UPDATE: Pls add 30mins train travel time btwn #TanahMerah and #ChangiAirport. We are working to recover svc.,2:23 PM - 1 Jan 2018,2018-01-01 14:23:00,EWL,update,TanahMerah,ChangiAirport,0,None,None
94,[EWL] UPDATE: Free regular bus & free bridging bus svcs btwn #TanahMerah and #ChangiAirport.,1:59 PM - 1 Jan 2018,2018-01-01 13:59:00,EWL,update,TanahMerah,ChangiAirport,0,None,None
95,"[EWL]: Due to a track signalling fault, pls add 30mins train travel time btwn #ChangiAirport and #TanahMerah. Free regular bus are available between #Tanah Merah and #Changi Airport.",1:49 PM - 1 Jan 2018,2018-01-01 13:49:00,EWL,update,ChangiAirport,TanahMerah,0,None,None
96,[EWL] CLEARED: Train svcs btwn #BoonLay and #GulCircle have resumed.  Free regular bus & free bridging bus svcs have ended.,2:24 PM - 6 Dec 2017,2017-12-06 14:24:00,EWL,cleared,,,0.0,,
97,[EWL] CLEARED: Train svcs btwn #BoonLay and #GulCircle resumed. Free regular bus & free bridging bus svcs are still available between #BoonLay & #GulCircle.,2:05 PM - 6 Dec 2017,2017-12-06 14:05:00,EWL,cleared,,,30816.0,JooKoon,TuasLink
98,[EWL] UPDATE: Free regular bus & free bridging bus svcs btwn #BoonLay and #GulCircle.,1:23 PM - 6 Dec 2017,2017-12-06 13:23:00,EWL,update,BoonLay,GulCircle,0,None,None
99,"[EWL]: Due to a train fault, there is no train svc btwn #BoonLay and #GulCircle.",1:22 PM - 6 Dec 2017,2017-12-06 13:22:00,EWL,update,BoonLay,GulCircle,0,None,None
100,[EWL] Free shuttle buses are avail btwn #JooKoon & #GulCircle for you to continue your journey. We are sorry that your journey will be affected during this period. Thank you for your patience and understanding.,1:01 PM - 19 Nov 2017,2017-11-19 13:01:00,EWL,update,JooKoon,GulCircle,0,None,None
101,"[EWL] Train svcs btwn #GulCircle & #TuasLink resume today, 20 Nov. There will be no train svc btwn #JooKoon & #GulCircle as our engineers conduct further checks on the signalling system for a mth.",1:00 PM - 19 Nov 2017,2017-11-19 13:00:00,EWL,update,GulCircle,TuasLink,0,None,None
102,"[EWL]: Train svcs btwn #JooKoon & #TuasLink will continue to be suspended till Sun, 19 Nov. Free regular & bridging bus svcs will be avail btwn #JooKoon & #TuasLink all day. Plan your journey & cater for additional train travel time. Alternative transport: http://bit.ly/2AMuuNK ",2:21 AM - 17 Nov 2017,2017-11-17 02:21:00,EWL,update,JooKoon,TuasLink,0,None,None
103,[EWL]: Train svcs btwn #JooKoon & #TuasLink will continue to be suspended tmr. Free regular & bridging bus svcs will be avail btwn #JooKoon & #TuasLink all day tmr. Plan your journey early & cater for additional train travel time on EWL. Other transport: http://bit.ly/2iz2Ezz .,4:42 AM - 16 Nov 2017,2017-11-16 04:42:00,EWL,update,JooKoon,TuasLink,0,None,None
104,[EWL]:Train svc btwn #JooKoon & #TuasLink is suspended. Free regular & bridging bus svcs are available btwn #JooKoon & #TuasLink all day.,12:43 PM - 15 Nov 2017,2017-11-15 12:43:00,EWL,update,JooKoon,TuasLink,0,None,None
105,[EWL]UPDATE:Train svcs btwn #JooKoon & #TuasLink will be suspended tmr. Free regular bus & bridging bus svcs will be avail btwn #JooKoon & #TuasLink all day tmr. Plan your journey early & cater for additional train travel time on EWL.Alternative transport:http://bit.ly/2iz2Ezz .,4:29 AM - 15 Nov 2017,2017-11-15 04:29:00,EWL,update,JooKoon,TuasLink,0,None,None
106,[EWL] UPDATE: Free regular bus and bridging bus services between #BoonLay and #TuasLink have ended.,1:34 AM - 15 Nov 2017,2017-11-15 01:34:00,EWL,cleared,,,0.0,,
107,[EWL] UPDATE: Train services between #BoonLay and #TuasLink have resumed but are running slower. Commuters travelling between #JurongEast and #TuasLink are advised to cater additional 10 minutes travelling time.,1:15 AM - 15 Nov 2017,2017-11-15 01:15:00,EWL,cleared,,,6840.0,TiongBahru,PasirRis
108,[EWL] UPDATE: No train service between #BoonLay and #TuasLink. Free regular bus and bridging bus services are available between #BoonLay and #TuasLink. Please seek alternative transport: http://bit.ly/2AMuuNK . We are sorry that your journey has been affected.,9:58 PM - 14 Nov 2017,2017-11-14 21:58:00,EWL,update,BoonLay,TuasLink,0,None,None
109,[EWL] UPDATE: Please add 10 mins train travel time between #BoonLay and #TuasLink. Free regular bus services are still available between #JurongEast and #TuasLink.,6:31 PM - 14 Nov 2017,2017-11-14 18:31:00,EWL,update,BoonLay,TuasLink,0,None,None
110,[EWL] UPDATE: Please add 15 mins train travel time between #JurongEast and #TuasLink. Free regular bus services are still available between #JurongEast and #TuasLink.,5:58 PM - 14 Nov 2017,2017-11-14 17:58:00,EWL,update,JurongEast,TuasLink,0,None,None
111,"[EWL] UPDATE: Due to a train fault, please add 30mins train travel time between #Queenstown and #TuasLink. Free regular bus services are available between #JurongEast and #TuasLink.",5:26 PM - 14 Nov 2017,2017-11-14 17:26:00,EWL,update,Queenstown,TuasLink,0,None,None
112,[EWL] UPDATE: Pls add 30mins train travel time btwn #JurongEast and #TuasLink. We are working to recover svc.,5:00 PM - 14 Nov 2017,2017-11-14 17:00:00,EWL,update,JurongEast,TuasLink,0,None,None
113,[EWL] UPDATE: Pls add 30mins train travel time btwn #JurongEast and #TuasLink due to a train fault at #JooKoon. Train svc is available.,4:37 PM - 14 Nov 2017,2017-11-14 16:37:00,EWL,update,JurongEast,TuasLink,0,None,None
114,[EWL] UPDATE: Free regular bus svcs btwn #JurongEast and #TuasLink.,4:35 PM - 14 Nov 2017,2017-11-14 16:35:00,EWL,update,JurongEast,TuasLink,0,None,None
115,[EWL]: Pls add 20mins train travel time btwn #JurongEast and #JooKoon due to a train fault at #JooKoon. Train svc is available.,4:25 PM - 14 Nov 2017,2017-11-14 16:25:00,EWL,update,JurongEast,JooKoon,0,None,None
116,[EWL] UPDATE: No train service from #Bugis to #TanahMerah towards #PasirRis due to a train fault at #Aljunied until the end of train service. We are sorry that your journey this evening has been affected.,8:13 AM - 10 Nov 2017,2017-11-10 08:13:00,EWL,update,Bugis,TanahMerah,0,None,None
117,[EWL] UPDATE: No train svc from #Bugis to #TanahMerah towards #PasirRis due to a train fault at #Aljunied.,7:38 AM - 10 Nov 2017,2017-11-10 07:38:00,EWL,update,Bugis,TanahMerah,0,None,None
118,[EWL] UPDATE: Free regular bus & Bridging bus svcs is available btwn #Bugis and #PasirRis in both directions.,7:16 AM - 10 Nov 2017,2017-11-10 07:16:00,EWL,update,Bugis,PasirRis,0,None,None
119,"[EWL]:Due to a train fault,pls add one hour train travel time from #TiongBahru to #PasirRis.Not linked to new signalling project.",7:15 AM - 10 Nov 2017,2017-11-10 07:15:00,EWL,update,TiongBahru,PasirRis,0,None,None
120,[EWL] CLEARED: Train svcs from #Bugis to #Queenstown have resumed. Free regular bus svcs have ended.,6:58 AM - 10 Nov 2017,2017-11-10 06:58:00,EWL,cleared,,,0.0,,
121,"[EWL]UPDATE:Train fault cleared,normal train svc http://resumed.Free  regular bus svc are still available btwn Bugis & Queenstown.",6:37 AM - 10 Nov 2017,2017-11-10 06:37:00,EWL,cleared,,,44.0,Bugis,Queenstown
122,[EWL] UPDATE: Free regular bus svcs is available btwn #Bugis and #Queenstown in both directions.,5:56 AM - 10 Nov 2017,2017-11-10 05:56:00,EWL,update,Bugis,Queenstown,0,None,None
123,"[EWL]:Due to a train fault,pls add 30min train travel time from #Bugis to #Queenstown towards #TuasLink.Not linked to new signalling project",5:53 AM - 10 Nov 2017,2017-11-10 05:53:00,EWL,update,Bugis,Queenstown,0,None,None
124,[EWL] CLEARED: Free regular bus services between #Clementi and #JurongEast have ceased.,12:34 AM - 4 Nov 2017,2017-11-04 00:34:00,EWL,cleared,,,0.0,,
125,[EWL] CLEARED: Train services from #Queenstown  to  #JurongEast have resumed.,12:30 AM - 4 Nov 2017,2017-11-04 00:30:00,EWL,cleared,,,37.0,Queenstown,JurongEast
126,"[EWL]: Due to a track point fault, pls add 10mins train travel time from #Queenstown to #JurongEast. (Not linked to new signalling project).",12:07 AM - 4 Nov 2017,2017-11-04 00:07:00,EWL,update,Queenstown,JurongEast,0,None,None
127,[EWL] UPDATE: Free regular bus svcs between #Clementi and #JurongEast.,11:55 PM - 3 Nov 2017,2017-11-03 23:55:00,EWL,update,Clementi,JurongEast,0,None,None
